smiles,Td
OC(=O)CC1=CC(=CC=C1)C#N,368.65
CCN1C2=C(C=CC=N2)N(C)C(=O)C2=C1N=CC(CC(O)C1=CC=NC=C1)=C2,369.15
COC1=CC2=C(C=C1OCCN1CCN(C)CC1)C=C1N=CC(C#N)=C(NC3=CC(OC)=C(OC)C(OC)=C3)C1=C2,369.15
CC(=O)C(=NOC(=O)OC(C)(C)C)C(=O)C1=CC=CC=C1,369.65
COC1=CC(OC)=C(CN2C3=C(C[C@H]([C@H](C(O)=O)C2=O)C2=CC4=C(OCO4)C=C2)C=CC=C3)C=C1,369.65
CC(C)(N=NC(C)(C)C(=N)NCCCCCC(O)=O)C(=N)NCCCCCC(O)=O,370.15
COC1=CC=C(C2=CC3=C(O)C=C(O)C=C3O2)C(OC)=N1,370.15
O=C(N[C@H]1CN([C@@H](C(=O)OC(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(OC(=O)OCC3=CC=CC=C3)C=C2)C1=O)OCC1=CC=CC=C1,370.65
CC(C)(NC(=O)[C@H](CCCCN)NC(=O)C1=CC=CC=C1)C1=CC=CC=C1,370.65
CN(C)CCC1=CC=C(C=C1)C1=NC=C2C=CC(=O)NC3=C2N1CC3,371.15
CC(C)(C)N=NC(C)(CCC(O)=O)C(N)=O,372.65
CON=C(C(O)=O)C1=CC(O)=CC=C1,372.65
C1C[C@H]2C=C(CCN2C1)C1=NNC(=C1C1=CC=NC=C1)C1=CC=CC=C1,372.65
CC1=CC=C(OC(=O)CCC(=O)OOC(=O)CCC(=O)OC2=CC=C(C)C=C2)C=C1,373.15
CC1=CC(=O)C(C=O)=C(C)N1,373.15
CC1=CC(=NC=C1)N1CCN(CCC2=C(CO)N3CCCC4=CC=CC2=C34)CC1,373.15
CCOC(=O)CN1C(=O)C(=O)NC2=C1C1=C(CC2)CCC(=C1)N1C=CC(=C1)C(=O)NCC1=CC=CC=C1,373.15
NC1=NC(=CC=C1)C1=CC=C(CCN2CCC(C2)C2=CC=CC=C2)C=C1,373.15
CCCCCCCCOC1=CC(C2=CC(NC(C)=O)=CC=C2)=C(OCC(O)=O)C(=C1)C1=CC(NC(C)=O)=CC=C1,373.15
COC1=NC(C)=C(C)N=C1NC(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,373.15
COC1=NC(C)=C(C)N=C1N(C)C(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,373.15
COC1=NC2=CC=CC=C2N=C1NC(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,373.15
COC1=NC2=CC=CC=C2N=C1N(C)C(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,373.15
CC(C)N1C(=O)N=CC2=CN=C(NC3=CC=C(C=C3)N3CCC(CC3)N(C)C)N=C12,373.15
CCN(CC)C1=CC2=C(C=C(O2)C(=O)C2=CC=C(C=C2)C#N)C=C1,373.15
COC1=CC=C(NN=C(CN)C2=CC=CC=C2)C=C1,374.15
CC1=CC=C2C(NC=C2C2=CCN(C[C@H](O)COC3=C4C=CNC4=CC=C3)CC2)=C1,374.15
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CCN(CC(O)=O)C(COCC1=CC=CC=C1)C(=O)NCCC=O,374.15
CC(C(O)=O)C(=O)C(C)(C)C,374.15
CC1=CC=C(C)N1C1=CC2=C(CCN(CC2)C(=O)NC2=CC=C(OC3=CC=CN=C3C)N=C2)C=C1,374.15
COC1=C(C=C(C=C1C1=CC(C=CC(O)=O)=CC=C1)C(=O)NCCCCCCCCC1=CC=CC=C1)C1=CC(C=CC(O)=O)=CC=C1,374.15
CC[C@@H]1[C@H](CC(O)=O)NC1=O,375.15
CCOC(=O)C1CN(C)C2CC3=CNC4=C3C(=CC=C4)C12,375.15
CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,375.15
COC1=CC=C(CC(C(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)OC(C)(C)C)C=C1,375.65
CN1CCN(CCOCCN2C3=C(C=CC=C3)C(=NC(NC(=O)C3=CC4=CC=CC=C4N3)C2=O)C2=CC=CC=C2)CC1,375.65
COC1=C(CN[C@H]2CCCN(CCCC(O)=O)[C@H]2C2=CC=CC=C2)C=CC=C1,375.65
CN(N=O)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,376.15
OC(=O)CCCCOC1=CC=C(C=C1)C(=N)NC(=O)OCC1=CC=CC=C1,376.15
CC1(C)NCC(=O)N1CC(=O)NCC(N)=O,376.65
CCOC(=O)CCOC1=CC2=C(C(=O)C(N)=O)C(CC)=C(CC3=C(C=CC=C3)C3=CC=CC=C3)N2C=C1,376.65
CCN(N=O)C(=O)N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,377.15
