smiles,min_bde_pred,Group
CC[C@H](NC(=O)C1=C(OCCN2C(=O)CCC2=O)C(=NC2=CC=CC=C12)C1=CC=CC=C1)C1=CC=CC=C1,8.411905,0
COC1=C(C=CC=C1)N1CCN(CC(=O)NC2=CC(C)=CC=C2)CC1,6.7340126,0
CCCCCNC1=NC(NCC2=CC=CC=C2)=C2N=CN(CC(O)=O)C2=N1,27.00341,0
CN(C)CCC1=CNC2=CC=C(CCC(=O)NCC3=CC=C(NC(C)=O)C=C3)C=C12,23.810806,0
CNC(=O)N(O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)CCCC2,12.353613,0
CC(C)CN(C[C@H](O)COC1=CC=CC2=C1C1=CC=CC=C1N2)C1=CC=C(OC2=CC=C(O)C=C2)C=C1,17.688276,0
COC(C(N1CC(NC(=O)C(=NO)C2=CC=CC=C2)C1=O)C(O)=O)C1=CC=CC=C1,24.683002,0
COC1=CC2=C(CC(=O)N(CCCN(C)CCOC3=CC=C(C=C3)N(C)C)CC2)C=C1OC,7.4490833,0
CC(C)(C)OC(=O)COC1CCN(CC1)C(=O)[C@H](CC1=CC=C(OC(C)(C)C)C=C1)NC(=O)CCCCNC(=O)OC(C)(C)C,21.104769,0
OCCOCCOCCN1CCN2C(C1)C1=C(CC3=C2C=CC=C3)C=CC=C1,13.678248,0
OC(=O)CCC1=CN(CC2=CC(=CC=C2)C(=O)NCC2=NC=CC=C2)N=C1C1=CC=CC=C1,17.502872,0
CN1CCN(CC1)C1=NC2=C(NC3=CC(C)(C)CC=C13)C=CC=C2,18.730652,0
CC(NC(CC(O)=O)C1=NC2=CC=CC=C2C=C1)C1=CC=CC=C1,15.266839,0
CCCC(=O)C1=CC2=C(C=C1OC)N(C)C(=N2)C(O)=O,6.5610514,0
CC[C@]1(CCCN2CCC3=C(NC4=CC=CC=C34)[C@H]12)C(C)C(=O)NCC1=CC=C(C)C=C1,22.944187,0
CC(=O)NCCNC1=NC(=NC2=C1C=C(N2)C=NOCC1=CC=CC=C1)C1=CC=CC=C1,21.024954,0
CCCC(=O)NCCCC[C@H](NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(N)=O)C(O)=O,58.43594,0
CC1=C(N)C(C)=C(C)C2=C1CC(C)(CN1CCCC1)O2,25.7044,0
COC1=CC2=C(CC(=O)N(CCCN(C)CCCOC3=CC=C(C=C3)N(C)C)CC2)C=C1OC,7.4490833,0
CC1(C)OC(=O)C(=C(O)COC2=CC=CC=C2)C(=O)O1,24.883987,0
CN1CCN(CC1)C1=C2C[C@@H](CCC2=CC=C1)NC(=O)C1=C(O)C=CC=C1,5.747133,0
OC1=CC=C(NC2=CC=CC=C2)C=C1,24.632164,0
CCCCC(=O)C1=CC2=C(C=C1C)N(C)C(=N2)C(O)=O,8.39871,0
CN1CCN(CC1)C1=CC=CC2=C1C[C@@H](CO2)NC(=O)C1=CC=C(C=C1)N1CCN(CC1)C(C)=O,6.4770317,0
CCCCOC(CC1=CC=C(OCCC2=C(C)OC(=N2)C2=CC=CC=C2)C2=CC=CC=C12)C(O)=O,2.8367891,0
CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](CCC(O)=O)C(N)=O,58.825623,0
CONC(=N)C1=CC2=C(OC(CCCC3=CC4=C(O3)C=CC(=C4)C(=N)NOC)=C2)C=C1,17.082567,0
NC1=CC=CC(=N1)C1=CC=C(CCN2CCC(C2)NC(=O)NCC2=CC=CC=C2)C=C1,20.918156,0
COC1=C(C=C(C=C1)C1=CC=CN1C(=O)OC(C)(C)C)C(=C)C(=O)C1=CC=C(C=C1)C(O)=O,11.534784,0
CCCC1=C(C(O)=C(C2=C1OC(C)(C)C2)C(C)(C)C)C(C)(C)C,20.549232,0
O=C(NC1N=C(CN2CCOCC2)C2=C(NC1=O)C=CC=C2)OCC1=CC=CC=C1,21.365313,0
COC1=CC(NC2=NC=CC(=N2)C2=CN=C(C=C2)N2CCN[C@@H](C2)C(C)C)=CC(OC)=C1OC,16.686274,0
OC(=O)CCC1=CC=C(C=C1)C1=COC(O)(C1=O)C1=CC=CC=C1,20.840782,0
CC(C)(C)OC(=O)N[C@H]1[C@H](NC1=O)N1C(=O)C2=CC=CC=C2C1=O,29.78583,0
O=C1NC2=C3N(CC2)C(=NC=C3C=C1)C1=CC(CN2CCCC2)=CC=C1,24.465652,0
CCOC(=O)C1=CN(C=N1)C1=C2N=CC=CC2=CC=C1,16.491283,0
COC(=O)C1=CC=C(N)C(=C1)C(N)=O,7.8171396,0
