smiles,Td,min_bde_pred
CC(C)(ON1C[C@H](NC(=O)CC2=CC=CC=C2)C1=O)C(=O)OC(C1=CC=CC=C1)C1=CC=CC=C1,341.15,28.351908
OC1=C(C=C(C=C1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,341.15,22.193302
OC(=O)COC1=C(C=C(C=C1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,341.15,18.960037
CC(C)(C)OC(=O)NCC1=CC(=CC=C1)C1CCN(CC1)C(=O)C1=CC(=CC=C1)N1CC(C)(O)C(O)C1=O,341.15,14.961035
CCC1=C(C2=C(COC)C=C3N2C1=CC=C3O)C1=CC=C(O)C=C1,343.15,22.26381
COC1=CC=CC(OC)=C1OCCCCCCCCN,343.15,18.406958
CC1=CC=C(OCC#CCC#CCC#CCC#CCCCC(O)=O)C=C1,343.65,20.567532
CC1COC2=C(C=CC(=C2)N2C[C@H](CO)OC2=O)N1C(=O)OCC1=CC=CC=C1,343.65,13.918915
CCCC1=CN(N=C1O)C(=O)OC(C)(C)C,343.65,69.92374
C(N1CCC2=C(CC1)C1=C(N2)C=CC=C1N=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,344.15,24.715523
CNC1=CC=CC=C1NC12CC3CC(CC(C3)C1)C2,345.15,19.363598
COC1=CN=C(C=C1NC(=O)C1=CC2=CC=CC(OC3=NC(=NC=C3)N3CCN(C)CC3)=C2N1C)C(C)(C)C,346.15,16.406212
OC(=O)COC1=C(C=C(C=C1C1=CC=CC=C1)C(=O)C1=CC2=C(O1)C=CC=C2)C1=CC=CC=C1,346.15,13.573101
OCC(O)CN1CCCN(CC1)C1=C(C=CC=N1)C(O)=O,346.65,13.306454
CC(NC(=O)NCCNCC(O)COC1=CC=CC=C1)C1=CC=CC=C1,347.15,25.069996
CCN(CCO)C1=CC(C)=C(C=C1)N=O,347.15,9.286595
CCCCCNC1=NC(N(C)CCCC)=C2N=CN(CC(O)=O)C2=N1,347.15,63.475475
CNC1=C(CC(C)O)N=NC(NNC(=O)C2=CN=CC=C2)=C1,348.15,17.315422
COC(=O)CC(=O)N1[C@@H](C)[C@H](N)C1=O,348.15,65.53325
OC(=O)CCCC#CCC#CCC#CCC#CCOC1=CC=CC=C1,348.15,25.050758
CCCC(=O)NC1=CN(C)C(\C=C\C(O)=O)=C1,348.15,58.99179
CN1C(=CC2=CC=CC(OC3=CC=NC=C3)=C12)C(=O)NC1=CC(=CN(C)C1=O)C(C)(C)C,348.15,20.47788
CCCCCCCCCC(C)NC(=O)C=C(C)C1=CC(NC(=O)\C=C/C(O)=O)=CC=C1,350.15,21.917576
C[C@H](N)C(=O)N(CC(O)CNC(=O)C(C)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1)C(=O)OC(C)(C)C,350.15,14.05814
OC(=O)[C@H](CC1=CNC2=CC=CC=C12)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC1=C(N=CO1)C(O)=O,350.15,27.339504
CC(C)(C)OC(=O)NC1=C(NC(=O)CC(=O)C2=CC(=CC=C2)C#N)C=C(C=C1)C1=CCN(CC1)C(=O)OC(C)(C)C,350.15,14.424639
CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,350.65,64.858116
COC(=O)CN(CCCNC(=O)OC(C)(C)C)C(=O)CN1C=C(C)C(=O)NC1=O,350.65,35.703102
CC(=NNCCC1=CC=CC=C1)C(N)=O,351.15,26.828821
NCCC1=CC=C(NC2=NC=CC=C2)C=C1,351.15,23.48975
CN1CC(C#N)C2C1CC1=CNC3=C1C2=CC=C3,351.65,30.109625
NNC1=CC=C(OCC2=NC3=CC=CC=C3C=C2)C=C1,352.15,14.873255
CC1=CN(CCN(CC(N)C(=O)OC(C)(C)C)CC(O)=O)C(=O)NC1=O,352.15,35.73391
CCOC(=O)COC1=C(C)C=C(NC(=O)OC(C)(C)C)C=C1,352.65,15.649799
CCCN1C2=C(C=C1C1=CC=CC=C1)C(=O)NCCC2,353.15,24.981396
CCOC1=CC=C(NC2=CC=CC=C2)C=C1,353.15,20.796059
CC(C)(C)OC(=O)CC(=O)C1=CC(=NC=C1)N1C=CN=C1,353.15,14.162039
O=C(OCCCCCCOC1=CC(=O)C(=O)C2=CC=CC=C12)OCCCCCCOC1=CC(=O)C(=O)C2=CC=CC=C12,353.15,18.374928
CC[C@H](NC(=O)C1=C(OCCN2C(=O)CCC2=O)C(=NC2=CC=CC=C12)C1=CC=CC=C1)C1=CC=CC=C1,353.15,8.411905
COC1=C(C=CC=C1)N1CCN(CC(=O)NC2=CC(C)=CC=C2)CC1,353.15,6.7340126
CCCCCNC1=NC(NCC2=CC=CC=C2)=C2N=CN(CC(O)=O)C2=N1,354.15,27.00341
CN(C)CCC1=CNC2=CC=C(CCC(=O)NCC3=CC=C(NC(C)=O)C=C3)C=C12,355.65,23.810806
CNC(=O)N(O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)CCCC2,355.65,12.353613
CC(C)CN(C[C@H](O)COC1=CC=CC2=C1C1=CC=CC=C1N2)C1=CC=C(OC2=CC=C(O)C=C2)C=C1,355.65,17.688276
COC(C(N1CC(NC(=O)C(=NO)C2=CC=CC=C2)C1=O)C(O)=O)C1=CC=CC=C1,356.15,24.683002
COC1=CC2=C(CC(=O)N(CCCN(C)CCOC3=CC=C(C=C3)N(C)C)CC2)C=C1OC,356.15,7.4490833
CC(C)(C)OC(=O)COC1CCN(CC1)C(=O)[C@H](CC1=CC=C(OC(C)(C)C)C=C1)NC(=O)CCCCNC(=O)OC(C)(C)C,356.15,21.104769
OCCOCCOCCN1CCN2C(C1)C1=C(CC3=C2C=CC=C3)C=CC=C1,356.65,13.678248
OC(=O)CCC1=CN(CC2=CC(=CC=C2)C(=O)NCC2=NC=CC=C2)N=C1C1=CC=CC=C1,357.15,17.502872
CN1CCN(CC1)C1=NC2=C(NC3=CC(C)(C)CC=C13)C=CC=C2,357.15,18.730652
CC(NC(CC(O)=O)C1=NC2=CC=CC=C2C=C1)C1=CC=CC=C1,357.15,15.266839
CCCC(=O)C1=CC2=C(C=C1OC)N(C)C(=N2)C(O)=O,358.15,6.5610514
CC[C@]1(CCCN2CCC3=C(NC4=CC=CC=C34)[C@H]12)C(C)C(=O)NCC1=CC=C(C)C=C1,358.15,22.944187
CC(=O)NCCNC1=NC(=NC2=C1C=C(N2)C=NOCC1=CC=CC=C1)C1=CC=CC=C1,358.15,21.024954
CCCC(=O)NCCCC[C@H](NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(N)=O)C(O)=O,358.65,58.43594
CC1=C(N)C(C)=C(C)C2=C1CC(C)(CN1CCCC1)O2,358.65,25.7044
COC1=CC2=C(CC(=O)N(CCCN(C)CCCOC3=CC=C(C=C3)N(C)C)CC2)C=C1OC,359.15,7.4490833
CC1(C)OC(=O)C(=C(O)COC2=CC=CC=C2)C(=O)O1,359.15,24.883987
CN1CCN(CC1)C1=C2C[C@@H](CCC2=CC=C1)NC(=O)C1=C(O)C=CC=C1,360.15,5.747133
OC1=CC=C(NC2=CC=CC=C2)C=C1,361.15,24.632164
CCCCC(=O)C1=CC2=C(C=C1C)N(C)C(=N2)C(O)=O,361.15,8.39871
CN1CCN(CC1)C1=CC=CC2=C1C[C@@H](CO2)NC(=O)C1=CC=C(C=C1)N1CCN(CC1)C(C)=O,361.15,6.4770317
CCCCOC(CC1=CC=C(OCCC2=C(C)OC(=N2)C2=CC=CC=C2)C2=CC=CC=C12)C(O)=O,362.15,2.8367891
CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](CCC(O)=O)C(N)=O,362.65,58.825623
CONC(=N)C1=CC2=C(OC(CCCC3=CC4=C(O3)C=CC(=C4)C(=N)NOC)=C2)C=C1,362.65,17.082567
NC1=CC=CC(=N1)C1=CC=C(CCN2CCC(C2)NC(=O)NCC2=CC=CC=C2)C=C1,363.15,20.918156
COC1=C(C=C(C=C1)C1=CC=CN1C(=O)OC(C)(C)C)C(=C)C(=O)C1=CC=C(C=C1)C(O)=O,363.15,11.534784
CCCC1=C(C(O)=C(C2=C1OC(C)(C)C2)C(C)(C)C)C(C)(C)C,363.45,20.549232
O=C(NC1N=C(CN2CCOCC2)C2=C(NC1=O)C=CC=C2)OCC1=CC=CC=C1,364.15,21.365313
COC1=CC(NC2=NC=CC(=N2)C2=CN=C(C=C2)N2CCN[C@@H](C2)C(C)C)=CC(OC)=C1OC,364.15,16.686274
OC(=O)CCC1=CC=C(C=C1)C1=COC(O)(C1=O)C1=CC=CC=C1,365.15,20.840782
CC(C)(C)OC(=O)N[C@H]1[C@H](NC1=O)N1C(=O)C2=CC=CC=C2C1=O,365.15,29.78583
O=C1NC2=C3N(CC2)C(=NC=C3C=C1)C1=CC(CN2CCCC2)=CC=C1,365.15,24.465652
CCOC(=O)C1=CN(C=N1)C1=C2N=CC=CC2=CC=C1,365.15,16.491283
COC(=O)C1=CC=C(N)C(=C1)C(N)=O,366.15,7.8171396
COC(=O)N1CCC2=C(C1)C=C(NN)N=N2,366.15,27.618801
CCC1=C(C2=C(COCCCCCCCCN3CCCCC3)C=C3N2C1=CC=C3O)C1=CC=C(O)C=C1,366.15,22.26381
CC1=CC(C)=C(NN=NC2=C(C)C=C(C)C=C2C)C(C)=C1,366.15,19.141338
O=[N+](OC1(O[N+]([O-])=O)COC1)[O-],366.15,84.475494
CC(C)(C)OC(=O)NC(C(O)=O)C1=CC(NC(N)=O)=CC=C1,367.15,25.362726
CON(C1CC2=CC=CC=C2CN1C(C)C)C(=O)C1=CC=C(C=C1)C(O)=O,367.15,9.997741
CC1=CC=C(C=C1)C(=O)C1=CC(C(=O)ON2C(=O)CCC2=O)=C(O)C(O)=C1,367.15,9.968151
OC1=CC=C(CC2CCCCN2C(=O)C(=O)NC2=CC=C3NC(=O)CC3=C2)C=C1,367.15,22.583136
COC1=C(CN[C@H]2CCCN(CCCO)[C@H]2C2=CC=CC=C2)C=CC=C1,367.65,19.542698
CC1(C)NCC(=O)N1CC(=O)NCC(=O)N1CC(=O)NC1(C)C,368.15,56.520798
CCC1=CN([C@H]2C[C@H](OCC3=CC=CC=C3)[C@@H](CN)O2)C(=O)NC1=O,368.15,27.276516
O[C@@H]1[C@@H](COC2=CC(OCC3=CC4=CC=CC=C4C=C3)=CC=C12)OC1=CC=CN=C1,368.15,12.803393
CC(C)N1C(=O)N=CC2=CN=C(NC3=CC=C(C=C3)N3CCC(CCCN4CCOCC4)CC3)N=C12,368.15,12.171797
OC(=O)CC1=CC(=CC=C1)C#N,368.65,23.144272
CCN1C2=C(C=CC=N2)N(C)C(=O)C2=C1N=CC(CC(O)C1=CC=NC=C1)=C2,369.15,23.859383
COC1=CC2=C(C=C1OCCN1CCN(C)CC1)C=C1N=CC(C#N)=C(NC3=CC(OC)=C(OC)C(OC)=C3)C1=C2,369.15,-5.364126
CC(=O)C(=NOC(=O)OC(C)(C)C)C(=O)C1=CC=CC=C1,369.65,15.951644
COC1=CC(OC)=C(CN2C3=C(C[C@H]([C@H](C(O)=O)C2=O)C2=CC4=C(OCO4)C=C2)C=CC=C3)C=C1,369.65,14.337868
CC(C)(N=NC(C)(C)C(=N)NCCCCCC(O)=O)C(=N)NCCCCCC(O)=O,370.15,61.303936
COC1=CC=C(C2=CC3=C(O)C=C(O)C=C3O2)C(OC)=N1,370.15,24.561684
O=C(N[C@H]1CN([C@@H](C(=O)OC(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(OC(=O)OCC3=CC=CC=C3)C=C2)C1=O)OCC1=CC=CC=C1,370.65,21.89236
CC(C)(NC(=O)[C@H](CCCCN)NC(=O)C1=CC=CC=C1)C1=CC=CC=C1,370.65,21.063736
CN(C)CCC1=CC=C(C=C1)C1=NC=C2C=CC(=O)NC3=C2N1CC3,371.15,20.779785
CC(C)(C)N=NC(C)(CCC(O)=O)C(N)=O,372.65,61.200768
CON=C(C(O)=O)C1=CC(O)=CC=C1,372.65,22.912872
C1C[C@H]2C=C(CCN2C1)C1=NNC(=C1C1=CC=NC=C1)C1=CC=CC=C1,372.65,24.579395
CC1=CC=C(OC(=O)CCC(=O)OOC(=O)CCC(=O)OC2=CC=C(C)C=C2)C=C1,373.15,22.672329
CC1=CC(=O)C(C=O)=C(C)N1,373.15,16.653645
CC1=CC(=NC=C1)N1CCN(CCC2=C(CO)N3CCCC4=CC=CC2=C34)CC1,373.15,29.092655
CCOC(=O)CN1C(=O)C(=O)NC2=C1C1=C(CC2)CCC(=C1)N1C=CC(=C1)C(=O)NCC1=CC=CC=C1,373.15,26.660408
NC1=NC(=CC=C1)C1=CC=C(CCN2CCC(C2)C2=CC=CC=C2)C=C1,373.15,20.918156
CCCCCCCCOC1=CC(C2=CC(NC(C)=O)=CC=C2)=C(OCC(O)=O)C(=C1)C1=CC(NC(C)=O)=CC=C1,373.15,19.272064
COC1=NC(C)=C(C)N=C1NC(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,373.15,27.318645
COC1=NC(C)=C(C)N=C1N(C)C(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,373.15,27.318645
COC1=NC2=CC=CC=C2N=C1NC(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,373.15,13.007779
COC1=NC2=CC=CC=C2N=C1N(C)C(=O)N1CCN(CC1)C1=CC(N)=CC(N)=C1,373.15,12.972864
CC(C)N1C(=O)N=CC2=CN=C(NC3=CC=C(C=C3)N3CCC(CC3)N(C)C)N=C12,373.15,12.161137
CCN(CC)C1=CC2=C(C=C(O2)C(=O)C2=CC=C(C=C2)C#N)C=C1,373.15,12.656529
COC1=CC=C(NN=C(CN)C2=CC=CC=C2)C=C1,374.15,21.55743
CC1=CC=C2C(NC=C2C2=CCN(C[C@H](O)COC3=C4C=CNC4=CC=C3)CC2)=C1,374.15,27.603355
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CCN(CC(O)=O)C(COCC1=CC=CC=C1)C(=O)NCCC=O,374.15,27.272934
CC(C(O)=O)C(=O)C(C)(C)C,374.15,73.524864
CC1=CC=C(C)N1C1=CC2=C(CCN(CC2)C(=O)NC2=CC=C(OC3=CC=CN=C3C)N=C2)C=C1,374.15,10.80835
COC1=C(C=C(C=C1C1=CC(C=CC(O)=O)=CC=C1)C(=O)NCCCCCCCCC1=CC=CC=C1)C1=CC(C=CC(O)=O)=CC=C1,374.15,16.815903
CC[C@@H]1[C@H](CC(O)=O)NC1=O,375.15,63.377533
CCOC(=O)C1CN(C)C2CC3=CNC4=C3C(=CC=C4)C12,375.15,30.11189
CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,375.15,52.47712
COC1=CC=C(CC(C(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)OC(C)(C)C)C=C1,375.65,21.895191
CN1CCN(CCOCCN2C3=C(C=CC=C3)C(=NC(NC(=O)C3=CC4=CC=CC=C4N3)C2=O)C2=CC=CC=C2)CC1,375.65,16.010986
COC1=C(CN[C@H]2CCCN(CCCC(O)=O)[C@H]2C2=CC=CC=C2)C=CC=C1,375.65,19.542698
CN(N=O)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,376.15,58.83968
OC(=O)CCCCOC1=CC=C(C=C1)C(=N)NC(=O)OCC1=CC=CC=C1,376.15,20.720732
CC1(C)NCC(=O)N1CC(=O)NCC(N)=O,376.65,55.986748
CCOC(=O)CCOC1=CC2=C(C(=O)C(N)=O)C(CC)=C(CC3=C(C=CC=C3)C3=CC=CC=C3)N2C=C1,376.65,23.614994
CCN(N=O)C(=O)N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,377.15,59.230675
CC(C)(N=NC(C)(C)C(=N)NCCCC(O)=O)C(=N)NCCCC(O)=O,377.15,59.12993
O=C(CC(NC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)=O)NC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,377.15,63.70781
CC(C)(C)OC(=O)NC(=O)C(N)C1=CC(O)=C(O)C=C1,377.65,12.484444
COC1=C(OC)C=C(NN)C=C1,377.65,14.128559
CC(C)CCN1C2=C(C=CC=C2)N(CCN2CCOCC2)C(=O)C(NC(=O)NC2=CC=C(O)C=C2)C1=O,377.65,18.15802
C[C@@H]1N(C(=O)C2=CC=CC=C2)C(=O)OC1=O,377.85,15.266298
CC(=O)OC1=C(C=CC=C1)C(=O)NC1=CC(=CC(NC(=O)C2=C(OC(C)=O)C=CC=C2)=C1)C(N)=O,378.15,11.302079
C[C@H]1CN(CC(=O)NC2=C(N)C=CC=C2)C[C@@H](C)O1,378.15,21.110878
C\C=C\C=C\C(=O)OOC(C)(C)CCC(C)(C)OOC(=O)\C=C\C=C\C,378.15,70.59409
CC1=C(O)C=C(O)C=C1,378.15,14.876312
CCCC1(CC(O)=O)OCCC2=C1NC1=CC=C(OCC3=NC4=CC=CC=C4C=C3)C=C21,378.15,14.873255
COC(CCCNC(=O)CC(=O)NCCCC(OC)OC)OC,378.15,58.349747
COC1=CC(NC(=O)OCCN2CCCN(CCOC(=O)NC3=CC(OC)=C(OC(C)=O)C(OC)=C3)CC2)=CC(OC)=C1OC,378.15,15.867317
COC(=O)CCNC(=O)C1=CC2=C(C=C1N(C)C(=O)OCC(C)C)N(C)C(=N2)C1=CC=C(C=C1)C(N)=N,378.15,5.6067114
COC1=C(CC(=N)N2C[C@H]3[C@@H](C2)C(CC[C@@H]3O)(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,378.15,20.365814
COC1=C(OC)C=C2C(C=C(CO)C(CO)=C2C2=CC(=NC=C2)N2C(=O)C=C(OCCO)C3=CC=CC=C23)=C1,378.15,-8.030231
COC1=CC=C2N(CC3=CC=C(C=C3)C(C)(C)C)C(COC(C)=O)=C(C(=O)C(O)=O)C2=C1,378.15,21.101124
CN(CCC1=CC=CC=C1)C(=O)CC1=CN(C=CC(O)=O)C2=CC=C(OCC3=CC=CC=C3)C=C12,379.15,22.733536
COC1=C(C=CC=C1)[C@]1(O)C[C@H](CC#N)C[C@H]2CN(C[C@@H]12)C(=O)[C@@H](C)C1=C(O)C=CC=C1,379.15,18.352993
COC(=O)C1=CC=C(C=C1)C1=NNC=C1,379.15,13.798668
CCC1=C(C(=O)C2=CC=CC(OCC(O)=O)=C2)C2=C(O1)C=CC=C2,379.65,15.6813965
COC1=C(NC(=O)NC2=C(C)C=CC=C2)C=CC(=C1)N(C(C)=O)C1=CC=C(C=C1)[C@@H](CC(O)=O)NC(=O)CN,379.65,14.109577
OC(=O)COC1=CC=C2CCC(=CC2=C1)N1C=CN=C1,380.15,10.47928
NC(C(N)=O)C1=CC(O)=C(O)C=C1,380.15,12.446299
COC1=C2C(CC=C3C(C)=C(CCC23C)C=O)=C(OC)C(=C1)C(C)C,380.15,8.88134
CCOC(=O)C1=C(N=NN(C)C)N=C(CC2=CC=CC=C2)N1C,380.65,27.504227
CC(C)=NNC1=CC=C(OCC2CO2)N=N1,380.65,36.123653
COC(=O)CCCCCCCC(=O)NC1=CC=C(C=C1)C(=O)NNC(=O)OC(C)(C)C,380.65,15.653654
OCCC1=CC=C2NC(=CC2=C1)C(=O)OCC1=CC=CC=C1,380.65,25.527084
CCC(O)C1=CN2C3=C(C=CC=C3)C3=CC=CC(=C23)C1=O,380.95,9.480543
CCOC(=O)C1=CC=CC2=C1NC(N)=N2,381.15,20.889637
O=[N+](OCC(CO[N+]([O-])=O)(N(CCO[N+]([O-])=O)CCO[N+]([O-])=O)CO[N+]([O-])=O)[O-],381.15,70.744225
OC(=O)[C@@H]1CCCN1N=O,381.65,66.76375
O=C(CC1=CC=CC=C1)NC1CN(CC#N)C1=O,381.65,28.660034
CCOC(=O)CC(NC(=O)C1=CC=CC=C1)C(=O)C1=COC=C1,382.15,20.70581
NC(=N)NCCOCCO,382.15,64.67763
NCC1CC2=C(O1)C(CC1=CC=CC=C1)=CC=C2,382.15,28.120981
CN(N=O)C(=O)N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,382.65,59.904335
CCCN(N=O)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,383.15,59.096466
NC(=N)NC1=CC=C(C=C1)C(=O)N1CCN(CCC(O)=O)C(=O)C1,383.15,13.402132
CCCCCCCCCCCCCCCCCCOC(=O)\C=C/C(=O)NC(N)=O,383.15,63.85459
NC1=CC=CC(=N1)C1=CC=C(CCN2CC3=CC=CC=C3CC2C(O)=O)C=C1,383.15,18.22312
CNCC1=CC=CC(=C1)C1=NC=C2C=CC(=O)NC3=C2N1CC3,383.15,24.148434
CCN(CC)C1=CC2=C(C=C(O2)C(=O)C2=CC3=C(OCCO3)C=C2)C=C1,383.15,10.425238
CCN(CC)C1=CC2=C(C=C(O2)C(=O)C2=C(C)C=C(C)C=C2)C=C1,383.15,8.568515
CCOC(=O)C1=NC(=NC1=[N+]=[N-])C1=CC=CC=C1,384.15,22.560215
CCCC1(CCC)N(OC(C)(C)C#N)C(CCC)(CCC)C2=CC=CC=C12,384.15,27.722103
CCOC(=O)N(C1=NN(CC1)C1=CC=CC=C1)C1=CC=CN=C1,384.15,23.502913
CCOC(=O)C1=CC2=C(N=C(C)N2C)C(NCC2=C(CC)C=CC=C2C)=N1,384.15,19.201141
CCCOC1=C(O)C=C(CN)C=C1,384.65,14.020754
CCNCCN1C(=O)C2=CC=CC=C2C1=O,385.15,29.762352
CC(C)NC(=O)N(O)CC#CC1=CC(=CC=C1)C1=N[C@@H](CO1)C1=CC=CC=C1,385.45,20.744879
CC(=O)OC1=C(C=CC=C1)C(=O)OC1=CC=CC2=CC3=CC=CC(OC(=O)C4=C(OC(C)=O)C=CC=C4)=C3C(OC(=O)C3=C(OC(C)=O)C=CC=C3)=C12,385.65,9.896632
CC1=CC(=CC(C)=C1O)C(=O)NC1CCC(=O)N2CCCC(N2C1=O)C(=O)NC1CC(=O)OC1OCC1=CC=CC=C1,385.65,17.987312
CCCCNC(=O)N[C@@H](CC1=CC=C(OC)C=C1)C(=O)N[C@H]1[C@@H](O)[C@@H](O[C@@H]1C(=O)NCCCC)N1C=NC2=C(N)N=CN=C12,386.15,21.230707
CC1=C(N(CCCCCCNCCN)C2=CC=C(O)C=C12)C1=CC=C(O)C=C1,386.15,21.505499
O[C@@H]1[C@@H](CCOC2=C1C=C(OCC1=NC3=CC=CC=C3C=C1)C=C2)OC1=CC(=CC=C1)C(O)=O,386.15,12.952381
CCC1=CC=CC(NC(=O)NC2N=C(N3CCN(C)CC3)C3=C(C=CC=C3)N(CC(C)C)C2=O)=C1,386.15,18.813477
CC(C1=NOC(=C1)N=C(N)N1CCOCC1)C1=CC2=C(C=C1)C1=CC=CC=C1N2,386.15,20.519062
CN1C=NC(=C1)C1=NC(C=O)=CN1C,386.15,78.58684
CN1C=NC(=C1)C1=NC=C(C=O)N1C,386.15,78.54575
CN1CC=CCC1(C=NO)C#N,386.65,67.86755
CCCCCCCCCCCCCCOC1=CC=C(O1)C(O)=O,386.65,68.38553
COC(=O)C1=CC(=NN(CC2=CC=CN=C2)C1=O)C1=CC=C(OC)C=C1,386.95,11.094728
CC(C)OC1=CC=C(NC2=CC=CC=C2)C=C1,387.15,23.227243
OCCOC1=CC=NC=C1,387.15,21.880629
