smiles,Group
O=[N+](NC1=NNC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=C1[N+]([O-])=O)[O-],0
[O-][N+](=O)C1=CC=C(C=C1)C1=C(C(=O)NC1=O)C1=CNC2=CC=CC=C12,0
CCCCC1=NC2=C(C(N(CC2)C(=O)CC(=O)OCC)C(=O)OC)N1CC1=CC(C2=NN=NN2C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)=C(C=C1)C1=CC=CC=C1,0
CCCCC1=NC2=C(C(N(CC2)C(=O)CC(=O)OCC)C(=O)OC)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0
CCCC1=C2N=C(CC)C=C(NCC3=CC=C(C=C3)C3=C(C=CC=C3)C3=NN=NN3)N2N=C1,0
CCC1=NN2C(N=C(CC)C=C2NCC2=CC=C(C=C2)C2=C(C=CC=C2)C2=NN=NN2)=C1C,0
O=[N+](NC1=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN1)[O-],0
O=[N+](N([H])C(C([H])=C(C([N+]([O-])=O)=C1[H])N([H])[N+]([O-])=O)=C1[N+]([O-])=O)[O-],0
CN([N+]([O-])=O)CN([N+]([O-])=O)C1=NON=C1[N+]([O-])=O,0
CC1=NC=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(=C3)[N+]([O-])=O)N12,0
COC1=C(C=CC(=C1)[N+]([O-])=O)C(O)C1=NC=CC=C1,0
C[C@H]1CN(CC(=O)NC2=C(C=CC=C2)[N+]([O-])=O)C[C@@H](C)O1,0
COCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C(=O)OC)C(C)(C)O,0
NC(N/N=C(NC(N)=O)/C([N+]([O-])=O)[N+]([O-])=O)=O,0
[N-]=[N+]=NCC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1C2=O,0
CCOC(=O)CN1C(=O)C(=O)NC2=CC(=C(C=C12)N1C=CC(CN2CCCCC2)=C1)[N+]([O-])=O,0
CCCCCNC1=NC(OC2=CC(=CC=C2)[N+]([O-])=O)=C2N=CN(CC(O)=O)C2=N1,0
CCC([O-])=C(N1C(CC1=O)[N+](C)(C)C)C(=O)OCC1=CC=C(C=C1)[N+]([O-])=O,0
[O-][N+](=O)C=C1CCCCN1,0
CCC(C(CC)=CC(CNC(=O)C1=CC=CN=C1)=NO)[N+]([O-])=O,0
CC(=NO)C(C)(C)NOCCNC(C)(C)C(CN1C=CN=C1[N+]([O-])=O)=NO,0
CN1N=NN=C1N([N+]([O-])=O)CN([N+]([O-])=O)C,0
CCC1=NC2=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(=CC=C2NC)C(=O)OC,0
CN(CC(=O)NC1=C(C=CC=C1)[N+]([O-])=O)CC1=CC=CC=C1,0
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](C(O)C(=O)NCCC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)[C@@H](O[N+]([O-])=O)[C@H]1O[N+]([O-])=O,0
O=[N+](C1=NON=C1C2=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=C2[N+]([O-])=O)[O-],0
CN([N+]([O-])=O)CN1N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=N1,0
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NCCCN1[N+]([O-])=O)[O-],0
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NC(OCCO2)C2N1[N+]([O-])=O)[O-],0
CCCCC1=NC=C(C(=O)OCC)C(=N1)N(C)CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0
CON1CCC2(CC1)NC(=O)C(C2=O)(C1=C(C)C=C(C)C=C1C)[N+]([O-])=O,0
O=C(O)CN([N+]([O-])=O)C(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,0
CC(C([N+]([O-])=O)=CC([N+]([O-])=N[N+]([O-])=O)=C1)=C1[N+]([O-])=O,0
O=[N+](/C([N+]([O-])=O)=C1NCN(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CN\1)[O-],0
